### 형용사: 동물/괴물 (Adjectives: Beast/Creature)
"large": "커다란"
"fat": "뚱뚱한"
"enormous": "거대한"
"bottlenose": "주먹코"
"scaly": "비늘덮힌"
"brown": "갈색의"
"hairy": "털이 많은"
"strange": "이상한"
"huge": "엄청난 크기의"
"fierce": "사나운"
"slimy": "끈적끈적한"
"girthy": "두툼한"
"mighty": "강대한"
"hefty": "장대한"
"colossal": "어마어마한"
"humongous": "터무니없이 큰"
"horned": "뿔이 난"

### 형용사: NPC 묘사 (Adjectives: NPC Description)```
"cute": "귀여운"
"shapely": "균형잡힌"
"voluptuous": "관능적인"
"lush": "푸릇푸릇한"
"vulgar": "상스러운"
"plush": "기품있는"
"curvy": "곡선미가 있는"
"petite": "자그마한"
"slight": "가냘픈"
"slim": "날씬한"
"thin": "마른"
"slender": "멀쑥한"
"lanky": "호리호리한"
"lissome": "늘씬한"
"lithe": "유연한"
"trim": "균형잡힌"
"mousy": "소심해 보이는"
"fit": "매력적인"
"lean": "야윈"
"taut": "튼튼한"
"graceful": "품위있어 보이는"
"plump": "통통한"
"wide-eyed": "눈이 큰"
"chubby": "토실토실한"
"heavyset": "땅딸막한"
"toned": "탄탄한"
"bulky": "덩치 큰"
"broad": "어깨가 넓은"
"robust": "팔팔한"
"rugged": "다부진"
"muscular": "근육질"
"burly": "건장한"
"brutish": "야수 같은"
"minor": "작은"
"demon": "악마같은"
"Tutorial": "튜토리얼"
"tutorial": "튜토리얼"
"debug": "디버그"
"shadowed": "그림자"
"long-haired": "긴 머리의"
"relaxed": "너그러운"
"anxious": "근심 가득한"
"veteran": "노련한"
"methodical": "꼼꼼한"
"scarred": "흉터가 있는"
"tattooed": "문신이 있는"
"office": "사무실"
"shady": "수상한"
"shifty": "교활해 보이는"
"rotund": "퉁퉁한"
"slick-haired": "머리카락이 번들거리는"
"senior": "나이가 많은"
"flamboyant": "화려하게 입은"
"mouth-breathing": "입으로 숨쉬는"
"creepy": "기분나쁜"
"giggly": "낄낄거리는"
"boney": "뼈가 앙상한"
"handsome": "잘생긴"
"foppish": "멋쟁이"
"pretty": "예쁜"
"busty": "가슴이 큰"

### 신체 부위 (Body Parts)
"left": "왼쪽"
"right": "오른쪽"
"bottom": "엉덩이"
"penis": "자지"
"clit": "클리토리스"
"anus": "항문"
"vagina": "보지"
"vaginaoutside": "보지 바깥"
"labia": "음순"
"tummy": "배"
"back": "등"
"ear": "귀"
"ears": "귀"
"hair": "머리카락"
"pubic": "음부"
"mouth": "입"
"mouths": "입"
"face": "얼굴"
"faces": "얼굴"
"arm": "팔"
"arms": "팔"
"leftarm": "왼팔"
"rightarm": "오른팔"
"forehead": "이마"
"foreheads": "이마"
"backs": "등"
"neck": "목"
"necks": "목"
"cheek": "뺨"
"cheeks": "뺨"
"hand": "손"
"hands": "손"
"shoulder": "어깨"
"shoulders": "어깨"
"breast": "유방"
"breasts": "유방"
"foot": "발"
"feet": "발"
"leg": "다리"
"legs": "다리"
"nipple": "유두"
"nipples": "유두"
"ball": "고환"
"balls": "고환"
"thigh": "허벅지"
"thighs": "허벅지"
"chest": "가슴"
"chests": "가슴"
"midriff": "몸통"
"midriffs": "몸통"
"knee": "무릎"
"knees": "무릎"
"waist": "허리"
"waists": "허리"
"ankle": "발목"
"ankles": "발목"

### 신체 낙서 (Body Writing)
"Rape me": "강간해줘"
"Slut": "걸레"
"Fuckdoll": "섹스인형"
"Rapetoy": "강간 노리개"
"Worthless": "쓸모없음"
"Free use": "무료 변소"
"Slave": "노예"
"Use me": "써주세요"
"Hit me": "때려주세요"
"Cum rag": "정액 걸레"
"Walking dildo": "걸어다니는 딜도"
"Rape bait": "강간미끼"
"Bitch": "암캐/개새끼"
"Fuck me": "따먹어줘"
"Hurt me": "아프게 해줘"
"Enslave me": "노예로 삼아줘"
"Treat me bad": "모질게 대해줘"
"Sex addict": "섹스중독"
"Rape addict": "강간중독"
"Make me squeal": "비명지르게 해줘"
"Make me cum": "가버리게 해줘"
"Free sex": "공짜 섹스"
"Rapist's toy": "강간마용 변기"
"No means yes": "싫어는 좋다는 뜻임"
"Public toy": "공중변소"
"Public property": "공공재"
"Promiscuous": "난잡함"
"Town bicycle": "마을 공용자전거"
"Public slut": "공중걸레"
"Wanton": "음탕함"
"Insatiable slut": "만족할 줄 모르는 걸레"
"Doggy slut": "개 전용 걸레"
"Animal": "짐승"
"Beast fucker": "수간충"
"Breedable": "교배 가능"
"Deviant": "이상성욕자"
"£5 whore": "£5어치 창녀/남창"
"£10 a pop": "한 발에 £10"
"£25 per fuck": "한 번에 £25"
"£100": "£100"
"It's not rape if you pay me": "돈을 내면 강간이 아니야"
"Whore": "창녀/남창"
"Slut for hire": "걸레 구직중"
"Body for sale": "몸 팔아요"
"Pervert": "변태"
"Attention whore": "관심종자"
"Flaunter": "과시자"
"Object": "물건"
"Strip me": "옷을 벗겨주세요"
"Fucktoy": "육변기"
"Handsome": "훈남"
"Pretty": "예쁨"
"Hot": "섹시함"
"Beautiful": "아름다움"
"Cute boy": "귀여운 소년"
"Cute girl": "귀여운 소녀"
"Stud": "미남"
"Beauty": "미녀"
"Defiant whelp": "못된 개새끼"
"Insolent": "버릇없음"
"Brat": "애새끼"
"Punish me": "벌주세요"
"Naughty": "요망함"
"Whitney's slut": "휘트니 전용 걸레"
"Whitney's boyslut": "휘트니 전용 걸레남"
"Property of Whitney": "휘트니의 소유물"
"Whitney's toy": "휘트니의 장난감"
"unicorn": "유니콘"
"163": "163"
"Insatiable": "만족할 줄 모름"
"Stupid whore": "멍청한 창녀/남창"
"heart": "하트"
"paw print": "개발자국"
"flower": "꽃"
"butterfly": "나비"
"star": "별"
"skull": "해골"
"cross": "십자가"
"flame": "불꽃"
"cattle brand": "소 낙인"
"Remy's cattle": "레미의 소"
"Remy's cow": "레미의 젖소"
"Remy's bull": "레미의 황소"
"Dairy cow": "젖소"
"Milk me": "젖을 짜줘"
"Daddy issues": "아빠 문제"
"Mommy issues": "엄마 문제"
"Orphan": "고아"
"Prostitute": "매춘부"
"Ask to see me naked": "나체를 보고 싶다면 문의하시길"
"Trashy": "쓰레기"
"Cocksucker": "잘 빰"
"Side piece": "섹파"
"D.T.F.": "원나잇 모집"
"Size queen": "대물 가능"
"Abuse me": "학대해줘"
"Strugglefucker": "질식성애자"
"Slam pig": "섹스용 돼지"
"Cum dump": "정액변소"
"Submissive": "순종적"
"Pet": "애완동물"
"Skank": "음탕녀/음탕남"
"Gutter whore": "시궁창 창녀/남창"
"Stupid ho": "멍청한 창녀/남창"
"Asking for it": "원하고 있었음"
"Cock tease": "사정관리"
"Horse cock only": "말자지 전용"
"Knots only": "개좆 전용"
"Barn slut": "외양간 창녀/남창"
"Breeding stud": "번식용 수말"
"Breeding mare": "번식용 암말"
"Cat's toy": "고양이 노리개"
"Cat fucker": "고양이 수간충"
"Cat's slut": "고양이 전용 걸레"
"Criminal scum": "쓰레기 범죄자"
"Criminal": "범죄자"
"Law breaker": "무법자"
"Law_breaker": "무법자"
"Criminal whore": "범죄자 창녀/남창"
"In debt to society": "사회적 빚쟁이"
"Deserves prison": "교도소 입소 확정"
"Threat to society": "사회적 위험분자"
"Dumb bitch": "멍청한 암캐/개새끼"
"Kick me": "발로 차 줘"
